task_type,machine_type,machine_fuel_used,engine_hours,curr_load_cycles,idling_time,environmental_conditions,operator_level,actual_time_taken
Excavation,Excavator,9.8,1963,38,7,Cloudy,2,65
Loading,Excavator,14.1,906,21,45,Sunny,2,51
Backhoeing,Bulldozer,19.4,1829,23,13,Rainy,1,85
Loading,Backhoe,10.4,896,17,30,Rainy,1,60
Backhoeing,Excavator,12.2,899,39,39,Rainy,1,89
Backhoeing,Excavator,9.1,1867,20,25,Cloudy,2,73
Excavation,Backhoe,14.5,816,32,56,Windy,2,66
Backhoeing,Excavator,11.2,843,22,43,Cloudy,1,83
Excavation,Bulldozer,12.8,2118,40,9,Sunny,1,77
Excavation,Bulldozer,19.3,1608,38,42,Dusty,1,82
Bulldozing,Backhoe,17.5,1897,15,31,Dusty,1,82
Backhoeing,Bulldozer,20.4,1234,43,27,Cloudy,1,92
Excavation,Backhoe,12.5,1403,8,31,Windy,3,52
Excavation,Excavator,16.2,1661,15,32,Cloudy,2,53
Excavation,Loader,16.4,1701,9,32,Dusty,3,47
Loading,Bulldozer,13.8,976,26,48,Dusty,3,59
Bulldozing,Loader,18.9,1407,6,56,Sunny,2,63
Backhoeing,Excavator,18.3,2059,3,32,Rainy,1,86
Loading,Bulldozer,14.5,1268,36,5,Windy,1,71
Excavation,Excavator,12.4,801,33,39,Dusty,1,71
Backhoeing,Bulldozer,13.8,893,26,25,Sunny,3,58
Excavation,Bulldozer,12.4,1899,34,34,Windy,1,86
Bulldozing,Loader,15.2,943,22,42,Sunny,1,75
Backhoeing,Loader,8.3,905,18,46,Sunny,1,81
Bulldozing,Loader,19.9,999,6,7,Windy,2,54
Bulldozing,Loader,12.6,1429,39,26,Cloudy,2,69
Excavation,Excavator,19.5,1896,39,27,Dusty,2,76
Backhoeing,Loader,9.7,1387,6,50,Rainy,1,83
Backhoeing,Bulldozer,19.7,702,21,30,Cloudy,3,60
Loading,Backhoe,17.8,1783,21,44,Cloudy,2,65
Backhoeing,Bulldozer,9.4,1689,28,52,Dusty,3,84
Bulldozing,Excavator,19.0,734,14,52,Dusty,3,56
Bulldozing,Excavator,10.3,1563,42,53,Dusty,3,88
Backhoeing,Bulldozer,19.0,2090,44,60,Sunny,3,94
Bulldozing,Backhoe,16.4,820,17,38,Dusty,3,59
Bulldozing,Backhoe,14.1,1164,13,8,Rainy,1,65
Excavation,Excavator,8.3,2006,21,44,Dusty,3,61
Loading,Backhoe,8.3,1597,12,55,Windy,1,77
Excavation,Backhoe,16.9,1078,33,6,Windy,2,49
Loading,Backhoe,8.1,1824,45,29,Rainy,1,87
Backhoeing,Loader,13.3,984,33,30,Windy,2,79
Loading,Loader,15.7,1863,11,34,Sunny,2,57
Loading,Backhoe,9.2,1375,2,38,Rainy,3,48
Backhoeing,Backhoe,15.2,1368,0,29,Windy,2,59
Loading,Loader,18.5,808,42,12,Sunny,3,46
Bulldozing,Backhoe,16.0,2022,41,44,Cloudy,1,93
Backhoeing,Excavator,19.5,1817,25,29,Windy,2,81
Loading,Backhoe,8.6,2140,38,15,Sunny,2,68
Excavation,Loader,11.7,1653,20,18,Sunny,2,51
Backhoeing,Bulldozer,16.1,1993,31,45,Rainy,2,85
Bulldozing,Backhoe,17.6,1517,42,8,Sunny,2,67
Backhoeing,Backhoe,12.6,1670,21,8,Rainy,3,60
Loading,Loader,9.5,1876,14,34,Windy,2,66
Backhoeing,Bulldozer,16.9,1363,41,36,Cloudy,1,91
Excavation,Backhoe,12.6,788,19,17,Dusty,3,43
Bulldozing,Bulldozer,16.2,1567,30,5,Rainy,1,77
Backhoeing,Backhoe,16.5,1133,30,10,Cloudy,2,65
Backhoeing,Bulldozer,20.6,1080,25,41,Sunny,2,67
Loading,Backhoe,13.2,1204,33,41,Windy,3,63
Bulldozing,Backhoe,12.8,1289,11,16,Sunny,2,53
Excavation,Backhoe,9.9,1808,42,14,Cloudy,2,64
Bulldozing,Backhoe,18.1,792,3,55,Dusty,2,65
Excavation,Loader,19.0,1719,0,26,Rainy,3,46
Loading,Loader,21.9,1486,43,57,Sunny,3,71
Backhoeing,Loader,14.5,1199,21,9,Sunny,3,55
Bulldozing,Excavator,10.0,1981,24,46,Cloudy,1,91
Excavation,Excavator,8.7,1016,5,14,Rainy,1,50
Backhoeing,Loader,10.2,1184,38,37,Windy,1,97
Loading,Excavator,17.1,1215,0,7,Windy,2,39
Backhoeing,Excavator,21.8,1811,19,30,Sunny,3,62
Bulldozing,Excavator,19.2,1914,24,23,Dusty,1,81
Excavation,Excavator,19.0,1034,31,24,Sunny,1,59
Excavation,Backhoe,9.9,1609,29,37,Dusty,3,67
Backhoeing,Bulldozer,10.3,859,5,24,Rainy,1,67
Loading,Bulldozer,13.6,1662,40,17,Dusty,1,72
Bulldozing,Excavator,10.7,1658,15,23,Sunny,2,62
Bulldozing,Loader,20.9,1231,37,47,Dusty,3,81
Excavation,Loader,10.3,2091,12,31,Rainy,2,58
Backhoeing,Bulldozer,8.2,2020,1,22,Windy,1,79
Loading,Bulldozer,14.3,1383,22,53,Cloudy,1,71
Excavation,Loader,16.1,961,4,16,Dusty,1,53
Excavation,Backhoe,20.5,1276,4,9,Cloudy,1,43
Loading,Backhoe,20.2,1193,9,43,Rainy,3,52
Loading,Bulldozer,10.8,1179,24,60,Sunny,1,72
Backhoeing,Bulldozer,18.7,1778,24,31,Dusty,2,84
Loading,Excavator,10.3,2142,1,35,Cloudy,3,48
Backhoeing,Backhoe,12.0,1320,15,6,Windy,2,67
Excavation,Excavator,21.6,1113,16,36,Cloudy,3,48
Loading,Excavator,8.8,2074,37,14,Cloudy,1,76
Loading,Backhoe,21.7,899,3,52,Sunny,3,43
Bulldozing,Bulldozer,9.2,741,22,42,Rainy,3,63
Bulldozing,Bulldozer,19.9,1150,42,46,Sunny,1,90
Excavation,Bulldozer,16.4,1011,7,28,Sunny,2,46
Excavation,Backhoe,19.5,1787,18,37,Windy,2,68
Excavation,Bulldozer,13.5,1906,20,54,Cloudy,3,57
Backhoeing,Bulldozer,21.0,1800,2,35,Sunny,1,74
Loading,Backhoe,17.1,1274,44,35,Cloudy,1,75
Excavation,Loader,14.8,1887,42,5,Cloudy,1,70
Loading,Bulldozer,16.5,1124,25,30,Cloudy,3,49
Backhoeing,Loader,16.2,1061,24,22,Windy,2,66
Bulldozing,Bulldozer,13.6,1601,9,8,Windy,1,68
Loading,Loader,14.0,1543,28,37,Windy,1,80
Backhoeing,Loader,10.7,2083,20,25,Windy,1,89
Backhoeing,Excavator,19.6,988,35,44,Sunny,1,88
Bulldozing,Backhoe,12.0,2104,36,24,Dusty,3,74
Backhoeing,Loader,12.9,1282,29,44,Rainy,3,73
Excavation,Excavator,18.4,1587,4,29,Dusty,2,55
Bulldozing,Bulldozer,12.7,2198,43,9,Windy,3,79
Loading,Excavator,20.5,1501,14,11,Cloudy,3,36
Loading,Loader,18.5,1075,25,10,Dusty,3,43
Loading,Loader,19.8,946,3,7,Windy,3,29
Backhoeing,Bulldozer,9.9,1735,38,8,Windy,2,80
Excavation,Excavator,11.0,2065,30,20,Rainy,3,65
Loading,Excavator,10.7,1187,21,55,Cloudy,1,66
Excavation,Backhoe,19.6,1310,2,20,Cloudy,2,38
Bulldozing,Bulldozer,13.1,1098,38,17,Sunny,3,61
Backhoeing,Backhoe,11.9,1672,9,20,Cloudy,2,65
Loading,Excavator,20.5,989,4,35,Sunny,2,42
Backhoeing,Excavator,13.6,1294,21,30,Dusty,1,79
Excavation,Bulldozer,18.3,2124,44,19,Cloudy,2,69
Bulldozing,Bulldozer,10.2,2064,6,28,Sunny,1,74
Bulldozing,Backhoe,13.2,1270,25,43,Cloudy,2,64
Excavation,Bulldozer,15.4,2048,11,59,Sunny,1,78
Backhoeing,Excavator,14.0,1890,5,8,Dusty,1,72
Loading,Excavator,16.6,1140,35,43,Windy,1,74
Bulldozing,Backhoe,12.6,1959,23,29,Cloudy,1,78
Backhoeing,Excavator,16.2,1576,17,45,Dusty,2,79
Backhoeing,Loader,14.5,1911,11,26,Dusty,3,72
Bulldozing,Excavator,10.8,1296,36,41,Cloudy,1,89
Excavation,Backhoe,18.9,1156,29,35,Cloudy,3,54
Excavation,Backhoe,9.2,1806,43,29,Windy,3,66
Backhoeing,Loader,9.0,1845,2,30,Cloudy,2,68
Bulldozing,Backhoe,17.8,1421,27,5,Windy,1,78
Bulldozing,Bulldozer,9.4,1297,11,36,Windy,3,62
Loading,Bulldozer,13.6,1283,35,17,Windy,3,57
Backhoeing,Loader,19.3,822,4,16,Sunny,3,42
Loading,Loader,16.8,863,25,31,Dusty,1,63
Bulldozing,Backhoe,8.5,1101,41,40,Cloudy,1,83
Loading,Backhoe,10.2,2025,29,55,Sunny,3,72
Loading,Loader,10.1,889,38,50,Rainy,3,64
Loading,Excavator,14.0,1973,14,57,Dusty,3,61
Excavation,Excavator,15.1,1209,0,54,Sunny,2,51
Backhoeing,Loader,17.3,1105,40,30,Rainy,2,83
Bulldozing,Backhoe,8.3,750,23,36,Dusty,3,62
Loading,Excavator,18.9,761,4,22,Windy,2,43
Excavation,Bulldozer,12.5,1323,32,24,Cloudy,3,51
Excavation,Backhoe,13.8,1113,35,5,Sunny,2,47
Excavation,Excavator,8.1,954,29,54,Cloudy,2,58
Bulldozing,Excavator,19.1,2043,21,23,Windy,3,70
Bulldozing,Bulldozer,8.4,1325,19,11,Sunny,3,50
Bulldozing,Backhoe,13.8,1529,39,40,Dusty,3,79
Bulldozing,Excavator,18.9,1756,26,10,Cloudy,2,61
Bulldozing,Excavator,9.1,1634,31,4,Rainy,2,67
